0.13774,0.02518,-0.01368,-0.06134,-0.17088,-0.15319,0.21598
0.14944,0.05237,-0.00084,-0.02787,-0.15195,-0.10495,0.26767
0.16844,0.08084,0.02337,-0.01093,-0.12344,-0.03905,0.29764
0.18535,0.11018,0.0506,-0.00497,-0.08738,-0.00897,0.31288
0.17209,0.13568,0.07313,-0.01043,-0.04808,-0.00962,0.31254
0.13452,0.12497,0.08518,-0.02384,-0.01268,-0.03082,0.27955
0.09156,0.096,0.08749,-0.02832,0.02093,-0.07005,0.23729
0.03084,0.05324,0.08104,-0.02528,0.04717,-0.12047,0.1736
-0.0616,0.00712,0.06999,-0.01861,0.06596,-0.15493,0.08868
-0.12765,-0.02867,0.06085,-0.00203,0.07806,-0.1636,0.00871
-0.148,-0.04915,0.05222,0.01817,0.08138,-0.17884,-0.06859
-0.14669,-0.05432,0.05328,0.03148,0.08628,-0.20033,-0.1225
-0.17234,-0.04193,0.03814,0.03535,0.09726,-0.21571,-0.12742
-0.22403,-0.00809,0.04216,0.0294,0.1116,-0.20769,-0.11516
-0.25285,0.04141,0.03764,0.01566,0.12826,-0.18559,-0.08531
-0.26167,0.10439,-0.01405,0.0044,0.15011,-0.14803,-0.0394
-0.2713,0.16675,-0.06417,0.0057,0.17325,-0.09192,0.0167
-0.28656,0.21332,-0.11145,0.01508,0.1805,-0.03052,0.07455
-0.27354,0.24771,-0.1431,0.02553,0.17299,0.04079,0.13015
-0.24136,0.27925,-0.17007,0.03551,0.15278,0.10829,0.21826
-0.22039,0.272,-0.18902,0.03935,0.11469,0.16908,0.27876
-0.17133,0.2328,-0.21137,0.03869,0.07372,0.22241,0.27892
-0.09198,0.1974,-0.23951,0.04935,0.03565,0.26947,0.22023
-0.03003,0.16199,-0.26316,0.07592,0.00588,0.30155,0.1218
-0.01389,0.12558,-0.26082,0.10737,-0.01507,0.31852,0.03698
-0.0264,0.08416,-0.22855,0.13971,-0.02502,0.32174,-0.03475
-0.01824,0.03866,-0.19037,0.16545,-0.02254,0.29794,-0.09973
0.01063,-0.02466,-0.10622,0.16696,-0.02094,0.24649,-0.16787
0.05533,-0.10457,-0.01177,0.1472,-0.00999,0.17038,-0.23355
0.12105,-0.17836,0.06483,0.12019,0.01418,0.08122,-0.28973
0.19575,-0.23618,0.10479,0.0825,0.04373,-0.01312,-0.35249
0.25657,-0.27431,0.11824,0.03403,0.07806,-0.09092,-0.39808
0.29477,-0.31778,0.12411,-0.01707,0.11155,-0.14945,-0.33487
0.31705,-0.3606,0.11062,-0.07936,0.13392,-0.1878,-0.20973
0.31128,-0.34534,0.11224,-0.15031,0.14407,-0.20764,-0.13894
0.27459,-0.29091,0.11496,-0.20279,0.14235,-0.21177,-0.11167
0.20195,-0.24083,0.10767,-0.23568,0.12899,-0.1939,-0.086
0.1149,-0.19082,0.07606,-0.26013,0.11468,-0.1688,-0.06552
0.01323,-0.13664,0.04033,-0.26957,0.11302,-0.13269,-0.06058
-0.08119,-0.09955,0.01953,-0.26967,0.10901,-0.09289,-0.01508
-0.13864,-0.08538,0.00609,-0.26691,0.07739,-0.05126,0.04092
-0.16897,-0.05377,-0.00271,-0.2562,0.04048,-0.01012,0.02861
-0.15939,-0.01845,-0.01319,-0.2363,0.00865,0.02653,-0.03417
-0.1347,0.00306,-0.02145,-0.21187,-0.01941,0.06359,-0.07699
-0.0993,0.01447,-0.03937,-0.1962,-0.04143,0.093,-0.08618
-0.0648,0.03197,-0.05132,-0.18207,-0.04911,0.11825,-0.08716
-0.03849,0.06267,-0.06705,-0.14831,-0.04373,0.14603,-0.07566
-0.01666,0.08915,-0.08663,-0.09318,-0.05748,0.17258,-0.07368
0.02381,0.12222,-0.10324,-0.02,-0.08357,0.20229,-0.08797
0.08991,0.13271,-0.11084,0.0466,-0.11179,0.24301,-0.11546
0.1295,0.11663,-0.10399,0.08355,-0.13823,0.25212,-0.12991
0.14791,0.08302,-0.09403,0.11154,-0.16596,0.21876,-0.11682
0.16398,0.03617,-0.07179,0.14037,-0.18956,0.17237,-0.07582
0.18245,-0.00586,-0.04317,0.16151,-0.19778,0.1173,-0.00506
0.17317,-0.04173,-0.00927,0.17826,-0.19764,0.05361,0.08155
0.14322,-0.05841,0.02119,0.18688,-0.1849,-0.00736,0.16244
0.10577,-0.05466,0.05595,0.18518,-0.17303,-0.04858,0.22331
0.03904,-0.03004,0.08689,0.18253,-0.16629,-0.08768,0.27595
-0.05298,0.0119,0.10518,0.19144,-0.16177,-0.12867,0.30139
-0.12318,0.07067,0.13203,0.22204,-0.14491,-0.16254,0.31183
-0.14286,0.13722,0.15881,0.26969,-0.11303,-0.18382,0.3021
-0.14593,0.19048,0.1823,0.31604,-0.09189,-0.18634,0.27176
-0.15765,0.22572,0.19874,0.34142,-0.08672,-0.17989,0.23319
-0.21648,0.26308,0.20447,0.3326,-0.10097,-0.16923,0.16218
-0.25715,0.28183,0.18207,0.27962,-0.13214,-0.14481,0.07472
-0.26209,0.25628,0.13162,0.18028,-0.16541,-0.09451,-0.0093
-0.27426,0.21807,0.08275,0.05338,-0.18162,-0.03993,-0.08662
-0.28216,0.18063,0.03446,-0.07145,-0.17735,-0.01306,-0.13942
-0.2737,0.14667,-0.00126,-0.16721,-0.15963,-0.01644,-0.13882
-0.23667,0.10824,-0.01007,-0.22096,-0.13358,-0.0388,-0.11399
-0.22355,0.0697,0.00576,-0.23825,-0.10364,-0.08257,-0.08029
-0.18598,0.02107,0.02898,-0.22788,-0.06935,-0.13255,-0.03213
-0.10575,-0.05175,0.03036,-0.20083,-0.03009,-0.16378,0.02206
-0.03765,-0.1299,0.00789,-0.1677,0.00682,-0.17786,0.07818
-0.01439,-0.20143,-0.03119,-0.13247,0.03393,-0.18984,0.14394
-0.02843,-0.25385,-0.07287,-0.0974,0.05747,-0.20674,0.22928
-0.0169,-0.29045,-0.11023,-0.06041,0.07304,-0.2122,0.28413
0.00722,-0.33164,-0.12768,-0.02759,0.0796,-0.1998,0.28083
0.0452,-0.35596,-0.11666,-0.01025,0.08507,-0.17176,0.21263
0.11084,-0.31895,-0.09336,-0.00577,0.09216,-0.12737,0.1122
0.1909,-0.26184,-0.0609,-0.01293,0.10455,-0.06624,0.02928
0.24871,-0.2156,-0.03948,-0.02604,0.12292,0.00388,-0.04289
0.29085,-0.16571,-0.03128,-0.03025,0.14386,0.07322,-0.11045
0.32483,-0.11883,-0.02822,-0.02678,0.16424,0.13926,-0.17533
0.32195,-0.09504,-0.02501,-0.01751,0.18016,0.19587,-0.24273
0.28669,-0.08003,-0.00909,0.00242,0.18342,0.24312,-0.29555
0.21712,-0.04151,0.01581,0.02278,0.16949,0.27717,-0.35272
0.13568,-0.00988,0.04639,0.03215,0.14176,0.29753,-0.40124
0.03201,0.00782,0.07166,0.03143,0.1071,0.30176,-0.32294
-0.0657,0.02136,0.08276,0.02333,0.06811,0.28555,-0.19124
-0.12155,0.04333,0.08639,0.01241,0.03098,0.25248,-0.14254
-0.1574,0.07128,0.08144,0.00506,0.0016,0.19813,-0.11985
-0.16061,0.10474,0.06497,0.00496,-0.01351,0.12419,-0.08281
-0.13503,0.13638,0.05343,0.01514,-0.01758,0.03875,-0.06702
-0.09988,0.13131,0.04994,0.02931,-0.01839,-0.04556,-0.06757
-0.06849,0.10865,0.05029,0.03678,-0.00923,-0.11099,-0.01707
-0.03979,0.06729,0.03892,0.04006,0.00556,-0.15727,0.04063
-0.01791,0.01667,0.03258,0.04498,0.02617,-0.18511,0.01183
0.02057,-0.02429,0.03303,0.06012,0.05689,-0.19421,-0.04683
0.08102,-0.05173,-0.00432,0.09009,0.09273,-0.1941,-0.07309